link1	link2	value
9.0	85.0	0.19
9.0	86.0	0.03
9.0	87.0	0.14
9.0	88.0	0.2
9.0	89.0	0.15
9.0	90.0	0.25
9.0	91.0	0.19
9.0	92.0	0.21
9.0	93.0	0.19
9.0	94.0	0.01
9.0	95.0	0.16
10.0	1.0	0.2
10.0	2.0	0.17
10.0	3.0	0.23
10.0	4.0	0.16
10.0	5.0	0.2
10.0	6.0	0.18
10.0	7.0	0.17
10.0	8.0	0.14
10.0	9.0	0.22
10	10	0
10.0	11.0	0.14
10.0	12.0	0.13
10.0	13.0	0.15
10.0	14.0	0.13
10.0	15.0	0.1
10.0	16.0	0.05
10.0	17.0	0.04
10.0	18.0	0.05
10.0	19.0	0.06
10.0	20.0	0.04
10.0	21.0	0.14
10.0	22.0	0.16
10.0	23.0	0.15
10.0	24.0	0.12
10.0	25.0	0.15
10.0	26.0	0.12
10.0	27.0	0.11
10.0	28.0	0.14
10.0	29.0	0.1
10.0	30.0	0.15
10.0	31.0	0.11
10.0	32.0	0.14
10.0	33.0	0.14
10.0	34.0	0.1
10.0	35.0	0.16
10.0	36.0	0.13
10.0	37.0	0.16
10.0	38.0	0.11
10.0	39.0	0.13
10.0	40.0	0.15
10.0	41.0	0.13
10.0	42.0	0.09
10.0	43.0	0.1
10.0	44.0	0.16
10.0	45.0	0.15
10.0	46.0	0.12
10.0	47.0	0.1
10.0	48.0	0.14
10.0	49.0	0.14
10.0	50.0	0.2
10.0	51.0	0.11
10.0	52.0	0.11
10.0	53.0	0.11
10.0	54.0	0.12
10.0	55.0	0.1
10.0	56.0	0.08
10.0	57.0	0.15
10.0	58.0	0.15
10.0	59.0	0.12
10.0	60.0	0.1
10.0	61.0	0.06
10.0	62.0	0.08
10.0	63.0	0.17
10.0	64.0	0.11
10.0	65.0	0.11
10.0	66.0	0.12
10.0	67.0	0.19
10.0	68.0	0.13
10.0	69.0	0.17
10.0	70.0	0.09
10.0	71.0	0.12
10.0	72.0	0.1
10.0	73.0	0.11
10.0	74.0	0.08
10.0	75.0	0.13
10.0	76.0	0.08
10.0	77.0	0.16
10.0	78.0	0.1
10.0	79.0	0.15
10.0	80.0	0.1
10.0	81.0	0.12
10.0	82.0	0.17
10.0	83.0	0.18
10.0	84.0	0.12
10.0	85.0	0.13
10.0	86.0	0.04
10.0	87.0	0.09
10.0	88.0	0.14
10.0	89.0	0.11
10.0	90.0	0.21
10.0	91.0	0.11
10.0	92.0	0.14
10.0	93.0	0.12
10.0	94.0	0.01
10.0	95.0	0.13
11.0	1.0	0.23
11.0	2.0	0.29
11.0	3.0	0.22
11.0	4.0	0.2
11.0	5.0	0.23
11.0	6.0	0.18
11.0	7.0	0.16
11.0	8.0	0.2
11.0	9.0	0.22
11.0	10.0	0.14
11	11	0
11.0	12.0	0.24
11.0	13.0	0.2
11.0	14.0	0.13
11.0	15.0	0.09
11.0	16.0	0.05
11.0	17.0	0.04
11.0	18.0	0.05
11.0	19.0	0.07
11.0	20.0	0.04
11.0	21.0	0.14
11.0	22.0	0.13
11.0	23.0	0.16
11.0	24.0	0.13
11.0	25.0	0.15
11.0	26.0	0.13
11.0	27.0	0.11
11.0	28.0	0.13
11.0	29.0	0.12
11.0	30.0	0.15
11.0	31.0	0.12
11.0	32.0	0.16
11.0	33.0	0.15
11.0	34.0	0.12
11.0	35.0	0.16
11.0	36.0	0.13
11.0	37.0	0.19
11.0	38.0	0.13
11.0	39.0	0.13
11.0	40.0	0.15
11.0	41.0	0.14
11.0	42.0	0.1
11.0	43.0	0.11
11.0	44.0	0.14
11.0	45.0	0.13
11.0	46.0	0.13
11.0	47.0	0.12
11.0	48.0	0.16
11.0	49.0	0.16
11.0	50.0	0.14
11.0	51.0	0.14
11.0	52.0	0.12
11.0	53.0	0.1
11.0	54.0	0.13
11.0	55.0	0.1
11.0	56.0	0.08
11.0	57.0	0.17
11.0	58.0	0.18
11.0	59.0	0.14
11.0	60.0	0.11
11.0	61.0	0.07
11.0	62.0	0.11
11.0	63.0	0.17
11.0	64.0	0.14
11.0	65.0	0.11
11.0	66.0	0.13
11.0	67.0	0.18
11.0	68.0	0.14
11.0	69.0	0.16
11.0	70.0	0.11
11.0	71.0	0.12
11.0	72.0	0.11
11.0	73.0	0.11
11.0	74.0	0.09
11.0	75.0	0.15
11.0	76.0	0.09
11.0	77.0	0.18
11.0	78.0	0.1
11.0	79.0	0.15
11.0	80.0	0.1
11.0	81.0	0.1
11.0	82.0	0.15
11.0	83.0	0.17
11.0	84.0	0.13
11.0	85.0	0.14
11.0	86.0	0.05
11.0	87.0	0.11
11.0	88.0	0.14
11.0	89.0	0.11
11.0	90.0	0.17
11.0	91.0	0.11
11.0	92.0	0.17
11.0	93.0	0.12
11.0	94.0	0.01
11.0	95.0	0.15
12.0	1.0	0.28
12.0	2.0	0.27
12.0	3.0	0.25
12.0	4.0	0.22
12.0	5.0	0.23
12.0	6.0	0.16
12.0	7.0	0.16
12.0	8.0	0.18
12.0	9.0	0.2
12.0	10.0	0.13
12.0	11.0	0.24
12	12	0
12.0	13.0	0.18
12.0	14.0	0.14
12.0	15.0	0.1
12.0	16.0	0.08
12.0	17.0	0.05
12.0	18.0	0.06
12.0	19.0	0.12
12.0	20.0	0.04
12.0	21.0	0.15
12.0	22.0	0.14
12.0	23.0	0.15
